Sec,+-,+-,
2018-5-20 12:55:44.00000,4084085.06591,521328.79180,50.46531,
2018-5-20 12:55:45.00000,4084085.06646,521328.78892,50.46108,
2018-5-20 12:55:46.00000,4084085.06808,521328.79325,50.45726,
2018-5-20 12:55:47.00000,4084085.06831,521328.78730,50.45911,
2018-5-20 12:55:48.00000,4084085.06997,521328.79179,50.45941,
2018-5-20 12:55:49.00000,4084085.06728,521328.79024,50.47282,
2018-5-20 12:55:50.00000,4084085.06592,521328.78791,50.45829,
2018-5-20 12:55:51.00000,4084085.06848,521328.78855,50.45738,
2018-5-20 12:55:52.00000,4084085.06829,521328.78873,50.46631,
2018-5-20 12:55:53.00000,4084085.06703,521328.79057,50.46532,
2018-5-20 12:55:54.00000,4084085.07069,521328.78849,50.45261,
2018-5-20 12:55:55.00000,4084085.06993,521328.78755,50.46078,
2018-5-20 12:55:56.00000,4084085.07104,521328.78989,50.46831,
2018-5-20 12:55:57.00000,4084085.06826,521328.79059,50.45802,
2018-5-20 12:55:58.00000,4084085.06866,521328.78959,50.45565,
2018-5-20 12:55:59.00000,4084085.06789,521328.78924,50.46167,
2018-5-20 12:56:0.00000,4084085.06555,521328.78944,50.45947,
2018-5-20 12:56:1.00000,4084085.06803,521328.78607,50.45281,
2018-5-20 12:56:2.00000,4084085.06585,521328.78826,50.46189,
2018-5-20 12:56:3.00000,4084085.06731,521328.78724,50.45561,
2018-5-20 12:56:4.00000,4084085.06801,521328.78807,50.46367,
2018-5-20 12:56:5.00000,4084085.06870,521328.78822,50.45675,
2018-5-20 12:56:6.00000,4084085.06408,521328.79007,50.46192,
2018-5-20 12:56:7.00000,4084085.06587,521328.78599,50.44403,
2018-5-20 12:56:8.00000,4084085.06618,521328.78877,50.45779,
2018-5-20 12:56:9.00000,4084085.06688,521328.78688,50.45718,
2018-5-20 12:56:10.00000,4084085.06560,521328.78725,50.46088,
2018-5-20 12:56:11.00000,4084085.06609,521328.78875,50.46041,
2018-5-20 12:56:12.00000,4084085.06619,521328.78796,50.46677,
2018-5-20 12:56:13.00000,4084085.06500,521328.78705,50.45802,
2018-5-20 12:56:14.00000,4084085.06446,521328.78800,50.46408,
2018-5-20 12:56:15.00000,4084085.06720,521328.78907,50.45393,
2018-5-20 12:56:16.00000,4084085.06322,521328.78977,50.46590,
2018-5-20 12:56:17.00000,4084085.06564,521328.78914,50.46417,
2018-5-20 12:56:18.00000,4084085.06337,521328.79022,50.46603,
2018-5-20 12:56:19.00000,4084085.06574,521328.78882,50.46104,
2018-5-20 12:56:20.00000,4084085.06275,521328.78875,50.46003,
2018-5-20 12:56:21.00000,4084085.06183,521328.78853,50.46274,
2018-5-20 12:56:22.00000,4084085.06246,521328.78890,50.47341,
2018-5-20 12:56:23.00000,4084085.06091,521328.79038,50.46698,
2018-5-20 12:56:24.00000,4084085.06337,521328.78815,50.46819,
2018-5-20 12:56:25.00000,4084085.06135,521328.78928,50.47539,
2018-5-20 12:56:26.00000,4084085.06247,521328.78927,50.46756,
2018-5-20 12:56:27.00000,4084085.06195,521328.78766,50.47958,
2018-5-20 12:56:28.00000,4084085.06099,521328.78834,50.48202,
